8188321;0;8186099;20;8186397;40;8187205;60;8187865;80;8189731;100;8188920;120;8189279;140;8175438;160;8170262;180;8166603;200
8188184;0;8186212;20;8186117;40;8187010;60;8187906;80;8189518;100;8188999;120;8189672;140;8175276;160;8170317;180;8166519;200
8188074;0;8186360;20;8186068;40;8186995;60;8187985;80;8189353;100;8188904;120;8189762;140;8175188;160;8170315;180;8166471;200
8188085;0;8186410;20;8186064;40;8186974;60;8188207;80;8189495;100;8188987;120;8189791;140;8175041;160;8170271;180;8166491;200
8187969;0;8186209;20;8185731;40;8186942;60;8188388;80;8189646;100;8188969;120;8189761;140;8174928;160;8170256;180;8166567;200
8188073;0;8185874;20;8185632;40;8187089;60;8188306;80;8189506;100;8189063;120;8189684;140;8174795;160;8170156;180;8166480;200
8188204;0;8185930;20;8185888;40;8186955;60;8188363;80;8189380;100;8189175;120;8189847;140;8174640;160;8170087;180;8166476;200
8188076;0;8186288;20;8186073;40;8186950;60;8188369;80;8189266;100;8189259;120;8190165;140;8174480;160;8169863;180;8166473;200
8188064;0;8186880;20;8186028;40;8186929;60;8188413;80;8189349;100;8189309;120;8190383;140;8174327;160;8169635;180;8166419;200
8188249;0;8187074;20;8185868;40;8186938;60;8188579;80;8189401;100;8189393;120;8190487;140;8174506;160;8169676;180;8166284;200
8188368;0;8187073;20;8185903;40;8187123;60;8188486;80;8189390;100;8189548;120;8190754;140;8174652;160;8169848;180;8166554;200
8188277;0;8186729;20;8186107;40;8187108;60;8188172;80;8189264;100;8189649;120;8191313;140;8174814;160;8169997;180;8166681;200
8188328;0;8186442;20;8185944;40;8187139;60;8188196;80;8189529;100;8189726;120;8191431;140;8175042;160;8169928;180;8166850;200
8188523;0;8186616;20;8185865;40;8187466;60;8188336;80;8189633;100;8189925;120;8191294;140;8174911;160;8170016;180;8166958;200
8188507;0;8186511;20;8185874;40;8187523;60;8188268;80;8189456;100;8189904;120;8191261;140;8174860;160;8170234;180;8166823;200
8188416;0;8186140;20;8185597;40;8187633;60;8188444;80;8189430;100;8189725;120;8191310;140;8174989;160;8170126;180;8166711;200
8188446;0;8185838;20;8185677;40;8187657;60;8188508;80;8189568;100;8189506;120;8191307;140;8175311;160;8169720;180;8166625;200
8188375;0;8186029;20;8185698;40;8187738;60;8188521;80;8189500;100;8189663;120;8191264;140;8175235;160;8169563;180;8166655;200
8188282;0;8186263;20;8185547;40;8187842;60;8188438;80;8189555;100;8189724;120;8191215;140;8175321;160;8169590;180;8166770;200
8188185;0;8186412;20;8185430;40;8187822;60;8188259;80;8189729;100;8189511;120;8191305;140;8175539;160;8169408;180;8166692;200
